,id,epoch_second,problem_id,contest_id,user_id,language,point,length,result,execution_time
111,21247551,1616677971,APG4b_cn,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,295,WA,7.0
112,21247578,1616678075,APG4b_cn,APG4b,aozorarb,C++ (GCC 9.2.1),100.0,297,AC,10.0
113,21247904,1616678865,APG4b_cm,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,342,CE,
114,21247922,1616678896,APG4b_cm,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,343,WA,7.0
115,21247938,1616678926,APG4b_cm,APG4b,aozorarb,C++ (GCC 9.2.1),100.0,343,AC,6.0
116,21382089,1617007758,arc116_a,arc116,aozorarb,C++ (GCC 9.2.1),0.0,342,CE,
117,21382141,1617007891,arc116_a,arc116,aozorarb,C++ (GCC 9.2.1),0.0,348,CE,
118,21382156,1617007922,arc116_a,arc116,aozorarb,C++ (GCC 9.2.1),0.0,351,CE,
119,21382166,1617007951,arc116_a,arc116,aozorarb,C++ (GCC 9.2.1),0.0,351,CE,
120,21382204,1617008045,arc116_a,arc116,aozorarb,C++ (GCC 9.2.1),0.0,366,CE,
121,21382226,1617008107,arc116_a,arc116,aozorarb,C++ (GCC 9.2.1),0.0,367,CE,
122,21382245,1617008158,arc116_a,arc116,aozorarb,C++ (GCC 9.2.1),0.0,405,WA,2205.0
123,21382293,1617008281,arc116_a,arc116,aozorarb,C++ (GCC 9.2.1),0.0,415,WA,2205.0
124,21382326,1617008362,arc116_a,arc116,aozorarb,C++ (GCC 9.2.1),0.0,439,WA,2205.0
125,21382373,1617008520,arc116_a,arc116,aozorarb,C++ (GCC 9.2.1),0.0,439,WA,2205.0
126,21382685,1617009579,APG4b_cl,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,553,CE,
127,21382726,1617009714,APG4b_cl,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,544,CE,
128,21382744,1617009779,APG4b_cl,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,533,CE,
129,21382761,1617009841,APG4b_cl,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,540,CE,
130,21382776,1617009895,APG4b_cl,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,551,WA,6.0
131,21383079,1617010978,APG4b_cl,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,497,WA,8.0
132,21383100,1617011031,APG4b_a,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,553,WA,6.0
133,21383109,1617011058,APG4b_cl,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,497,WA,6.0
134,21383278,1617011599,APG4b_cl,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,471,WA,7.0
135,21383339,1617011788,APG4b_cl,APG4b,aozorarb,C++ (GCC 9.2.1),100.0,525,AC,6.0
136,21383606,1617012611,abc089_b,abc089,aozorarb,C++ (GCC 9.2.1),0.0,487,CE,
137,21383619,1617012646,abc089_b,abc089,aozorarb,C++ (GCC 9.2.1),0.0,487,WA,4.0
138,21385150,1617017538,abc089_b,abc089,aozorarb,Ruby (2.7.1),0.0,130,RE,61.0
139,21385156,1617017547,abc089_b,abc089,aozorarb,Ruby (2.7.1),0.0,139,RE,65.0
140,21385176,1617017598,abc089_b,abc089,aozorarb,Ruby (2.7.1),0.0,144,WA,62.0
141,21385182,1617017616,abc089_b,abc089,aozorarb,Ruby (2.7.1),0.0,144,WA,65.0
142,21385803,1617019131,APG4b_ck,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,201,WA,7.0
143,21386250,1617020109,APG4b_ck,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,366,CE,
144,21386267,1617020156,APG4b_ck,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,366,CE,
145,21386277,1617020180,APG4b_ck,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,365,CE,
146,21386297,1617020223,APG4b_ck,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,366,WA,10.0
147,21386472,1617020617,APG4b_ck,APG4b,aozorarb,C++ (GCC 9.2.1),100.0,285,AC,8.0
148,21486863,1617468796,abc101_a,abc101,aozorarb,C++ (GCC 9.2.1),0.0,223,CE,
149,21486867,1617468829,abc101_a,abc101,aozorarb,C++ (GCC 9.2.1),0.0,224,CE,
150,21486888,1617468971,abc101_a,abc101,aozorarb,C++ (GCC 9.2.1),0.0,240,CE,
151,21486896,1617469004,abc101_a,abc101,aozorarb,C++ (GCC 9.2.1),0.0,238,WA,7.0
152,21486942,1617469231,abc101_a,abc101,aozorarb,Ruby (2.7.1),0.0,27,RE,64.0
153,21487107,1617470456,abc101_a,abc101,aozorarb,Ruby (2.7.1),0.0,128,WA,63.0
154,21487113,1617470538,abc101_a,abc101,aozorarb,Ruby (2.7.1),100.0,130,AC,63.0
155,21490691,1617503660,abc101_b,abc101,aozorarb,Ruby (2.7.1),0.0,113,RE,63.0
156,21490818,1617504185,abc101_b,abc101,aozorarb,Ruby (2.7.1),200.0,136,AC,65.0
157,21491026,1617504980,practice_1,abs,aozorarb,Ruby (2.7.1),100.0,97,AC,61.0
158,21491189,1617505754,abc086_a,abs,aozorarb,Ruby (2.7.1),100.0,99,AC,64.0
159,21491374,1617506554,abc081_a,abs,aozorarb,Ruby (2.7.1),0.0,58,RE,64.0
160,21491380,1617506569,abc081_a,abs,aozorarb,Ruby (2.7.1),0.0,53,WA,61.0
161,21491412,1617506679,abc081_a,abs,aozorarb,Ruby (2.7.1),0.0,53,WA,61.0
162,21491421,1617506739,abc081_a,abs,aozorarb,Ruby (2.7.1),0.0,56,RE,63.0
163,21491450,1617506859,abc081_a,abs,aozorarb,Ruby (2.7.1),0.0,61,WA,64.0
164,21491475,1617506939,abc081_a,abs,aozorarb,Ruby (2.7.1),100.0,56,AC,62.0
165,21492252,1617510069,APG4b_cj,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,276,CE,
166,21492263,1617510121,APG4b_cj,APG4b,aozorarb,C++ (GCC 9.2.1),100.0,276,AC,6.0
167,21492280,1617510190,APG4b_cj,APG4b,aozorarb,C++ (GCC 9.2.1),100.0,276,AC,8.0
168,21492314,1617510309,APG4b_cj,APG4b,aozorarb,C++ (GCC 9.2.1),100.0,280,AC,7.0
169,21556813,1617806989,APG4b_cj,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,276,WA,8.0
170,21556990,1617807523,APG4b_cj,APG4b,aozorarb,C++ (GCC 9.2.1),100.0,281,AC,7.0
171,21557428,1617808887,APG4b_ci,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,232,CE,
172,21557485,1617809103,APG4b_ci,APG4b,aozorarb,C++ (GCC 9.2.1),100.0,243,AC,10.0
173,21558080,1617812118,APG4b_ch,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,1580,CE,
174,21558094,1617812188,APG4b_ch,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,1590,CE,
175,21558111,1617812290,APG4b_ch,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,1592,CE,
176,21558146,1617812501,APG4b_ch,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,1595,WA,9.0
177,21603267,1618044047,APG4b_ch,APG4b,aozorarb,C++ (GCC 9.2.1),100.0,1595,AC,4.0
178,21605583,1618051816,APG4b_ch,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,1663,CE,
179,21605665,1618052082,APG4b_ch,APG4b,aozorarb,C++ (GCC 9.2.1),100.0,1528,AC,11.0
180,21610730,1618059609,APG4b_cg,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,821,CE,
181,21611034,1618059924,APG4b_cg,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,818,CE,
182,21611095,1618059986,APG4b_cg,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,813,RE,122.0
183,21611254,1618060144,APG4b_cg,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,754,CE,
184,21611333,1618060212,APG4b_cg,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,752,CE,
185,21611488,1618060357,APG4b_cg,APG4b,aozorarb,C++ (GCC 9.2.1),100.0,743,AC,9.0
186,21618257,1618072920,APG4b_cf,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,588,RE,114.0
187,21618264,1618072947,APG4b_cf,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,588,WA,7.0
188,21618274,1618072998,APG4b_cf,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,590,WA,3.0
189,21618327,1618073312,APG4b_cf,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,594,WA,8.0
190,21618368,1618073586,APG4b_cf,APG4b,aozorarb,C++ (GCC 9.2.1),100.0,665,AC,6.0
191,21627258,1618125291,APG4b_ce,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,649,CE,
192,21627360,1618125594,APG4b_ce,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,494,CE,
193,21627477,1618125932,APG4b_ce,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,649,CE,
194,21627517,1618126028,APG4b_ce,APG4b,aozorarb,C++ (GCC 9.2.1),100.0,844,AC,9.0
195,21665417,1618144613,abc198_b,abc198,aozorarb,C++ (GCC 9.2.1),0.0,327,CE,
196,21671267,1618145299,abc198_b,abc198,aozorarb,Ruby (2.7.1),0.0,200,WA,64.0
197,21671889,1618145376,abc198_b,abc198,aozorarb,Ruby (2.7.1),0.0,202,WA,61.0
198,21677605,1618146179,abc198_b,abc198,aozorarb,Ruby (2.7.1),0.0,87,RE,69.0
199,21680058,1618146563,abc198_b,abc198,aozorarb,Ruby (2.7.1),0.0,77,WA,62.0
200,21689081,1618148124,abc198_a,abc198,aozorarb,Ruby (2.7.1),100.0,25,AC,63.0
201,21737315,1618315291,abc081_b,abs,aozorarb,C++ (GCC 9.2.1),0.0,398,WA,6.0
202,21737350,1618315351,abc081_b,abs,aozorarb,C++ (GCC 9.2.1),0.0,394,WA,8.0
203,21867965,1618751439,arc117_a,arc117,aozorarb,C++ (GCC 9.2.1),0.0,471,CE,
